id_company,date_waste,kitchen,shift,type_waste,weight,covers,heatmap,heatmap_text
APAC Hyatt Taipei TAIGH,2022-04-27,Cafe,Lunch,preparation,2.2,288.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Cafe,Lunch,preparation,12.3,288.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Cafe,Lunch,preparation,1.6,288.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Cafe,Lunch,buffet,2.9,288.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Cafe,Lunch,preparation,4.0,288.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Cafe,Lunch,preparation,1.2,288.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Cafe,Lunch,preparation,0.5,288.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Cafe,Lunch,plate,28.0,288.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Cafe,Dinner,preparation,1.9,175.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Cafe,Dinner,preparation,1.5,175.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Cafe,Dinner,preparation,1.1,175.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Cafe,Dinner,preparation,1.8,175.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Cafe,Dinner,preparation,1.9,175.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Cafe,Dinner,preparation,2.9,175.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Cafe,Dinner,preparation,4.7,175.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Cafe,Dinner,buffet,4.0,175.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Cafe,Dinner,preparation,1.5,175.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Cafe,Dinner,preparation,1.7,175.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Cafe,Dinner,preparation,3.1,175.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Cafe,Dinner,buffet,4.0,175.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Cafe,Dinner,buffet,1.0,175.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Cafe,Dinner,buffet,3.2,175.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Cafe,Dinner,plate,16.0,175.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Cafe,Dinner,plate,35.0,175.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Breakfast,buffet,2.2,76.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Breakfast,buffet,1.3,76.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Breakfast,buffet,0.7,76.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Breakfast,buffet,1.7,76.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Breakfast,buffet,5.6,76.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Breakfast,buffet,6.1,76.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Breakfast,preparation,0.7,76.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Breakfast,preparation,4.9,76.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Breakfast,plate,6.59,76.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Lunch,buffet,2.6,304.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Lunch,buffet,1.5,304.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Lunch,buffet,2.1,304.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Lunch,buffet,1.1,304.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Lunch,buffet,2.0,304.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Lunch,preparation,4.5,304.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Lunch,preparation,12.0,304.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Lunch,preparation,4.3,304.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Lunch,preparation,8.7,304.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Lunch,plate,30.0,304.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Dinner,buffet,0.89,219.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Dinner,buffet,1.1,219.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Dinner,buffet,2.4,219.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Dinner,buffet,3.0,219.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Dinner,preparation,4.0,219.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Dinner,preparation,4.0,219.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Dinner,preparation,1.3,219.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Dinner,preparation,1.5,219.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Dinner,preparation,5.5,219.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Dinner,preparation,4.9,219.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Dinner,preparation,3.3,219.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Dinner,preparation,2.3,219.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Dinner,preparation,2.9,219.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Cafe,Dinner,plate,30.0,219.0,0.0,OK
APAC Hyatt Solo SOCAL,2022-05-24,Agra,Lunch,preparation,0.3,55.0,0.0,OK
APAC Hyatt Solo SOCAL,2022-05-24,Agra,Lunch,preparation,0.5,55.0,0.0,OK
APAC Hyatt Solo SOCAL,2022-05-24,Agra,Lunch,preparation,0.5,55.0,0.0,OK
APAC Hyatt Solo SOCAL,2022-05-24,Agra,Lunch,preparation,0.3,55.0,0.0,OK
APAC Hyatt Solo SOCAL,2022-05-24,Agra,Lunch,preparation,0.5,55.0,0.0,OK
APAC Hyatt Solo SOCAL,2022-05-24,Agra,Lunch,preparation,0.5,55.0,0.0,OK
APAC Hyatt Solo SOCAL,2022-05-24,Agra,Lunch,buffet,0.3,55.0,0.0,OK
APAC Hyatt Solo SOCAL,2022-05-24,Agra,Lunch,buffet,0.2,55.0,0.0,OK
APAC Hyatt Solo SOCAL,2022-05-24,Agra,Lunch,buffet,0.3,55.0,0.0,OK
APAC Hyatt Solo SOCAL,2022-05-24,Agra,Lunch,plate,0.5,55.0,0.0,OK
APAC Hyatt Solo SOCAL,2022-05-24,Agra,Dinner,preparation,0.4,30.0,0.0,OK
APAC Hyatt Solo SOCAL,2022-05-24,Agra,Dinner,preparation,0.5,30.0,0.0,OK
