id_company,date_waste,kitchen,shift,type_waste,weight,covers,heatmap,heatmap_text
APAC Hyatt Wangjing NAYRW,2022-04-11,Market Cafe,Breakfast,preparation,0.93,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-10,Market Cafe,Breakfast,buffet,1.0,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-10,Epice,Dinner,preparation,0.5,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-10,Epice,Dinner,preparation,0.6,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-10,Bakery,Dinner,buffet,5.0,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-10,Market Cafe,Breakfast,preparation,1.02,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-10,Market Cafe,Dinner,preparation,0.29,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-10,Market Cafe,Breakfast,preparation,1.35,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-10,Bakery,Breakfast,buffet,1.1,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-10,Market Cafe,Lunch,spoilage,0.117,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-10,Market Cafe,Breakfast,preparation,0.457,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-10,Market Cafe,Lunch,preparation,0.75,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-10,Market Cafe,Breakfast,buffet,1.371,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-10,Market Cafe,Breakfast,buffet,0.83,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-10,Market Cafe,Breakfast,buffet,0.838,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-10,Market Cafe,Breakfast,buffet,0.796,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-10,Market Cafe,Breakfast,buffet,0.615,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-10,Market Cafe,Breakfast,buffet,0.578,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-10,Bakery,Lunch,preparation,6.2,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-10,Bakery,Lunch,preparation,6.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-10,Bakery,Lunch,buffet,0.8,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-10,Bakery,Lunch,buffet,0.9,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-10,Bakery,Breakfast,buffet,0.8,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-10,Bakery,Lunch,preparation,1.5,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-10,Bakery,Breakfast,buffet,2.6,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-10,Agra,Breakfast,buffet,0.7,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-10,Agra,Breakfast,preparation,7.0,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-10,Agra,Breakfast,preparation,1.237,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-10,Bakery,Lunch,preparation,11.0,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-10,Commissary,Breakfast,preparation,54.5,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-09,Bakery,Dinner,preparation,2.1,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-10,Commissary,Breakfast,preparation,2.08,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-09,Bakery,Lunch,buffet,4.6,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-09,Bakery,Breakfast,buffet,1.4,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-09,Agra,Lunch,plate,0.2,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-09,Agra,Lunch,plate,0.05,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-09,Agra,Lunch,plate,0.1,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-09,Epice,Breakfast,preparation,1.35,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-09,Bakery,Breakfast,buffet,2.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-09,Bakery,Breakfast,buffet,0.7,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-09,Bakery,Breakfast,buffet,2.6,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-09,Commissary,Lunch,preparation,1.8,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-09,Commissary,Lunch,preparation,3.0,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-09,Commissary,Lunch,preparation,84.0,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-09,Commissary,Lunch,preparation,6.8,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-09,Bakery,Lunch,preparation,7.1,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-09,Bakery,Lunch,preparation,8.6,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-09,Epice,Lunch,preparation,0.5,,1.0,C
